label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
CARRO,15,112,385,185,580b585b2edbce24c47b2cdd.png,400,400
CARRO,0,113,400,202,580b585b2edbce24c47b2ce4.png,400,400
CARRO,0,58,400,272,580b585b2edbce24c47b2ce7.png,400,400
CARRO,0,94,398,205,580b585b2edbce24c47b2d23.png,400,400
CARRO,0,92,400,217,584f07386a5ae41a83ddee53.png,400,400
CARRO,60,83,291,238,5a0ad4ee5a997e1c2cea10ef.png,400,400
CARRO,39,19,936,406,Aston-Martin-Silver-Car-PNG-High-Quality-Image.png,1000,425
CARRO,7,0,972,479,Aston-Martin-Silver-Car-PNG-Pic.png,1024,499
CARRO,2,3,1298,685,Audi-Car-PNG-Photo.png,1300,688
CARRO,107,36,1980,1065,Audi-Car-PNG-Picture.png,2162,1187
CARRO,113,67,1960,979,Audi-Car-Transparent-Background-PNG.png,2142,1152
CARRO,0,82,1921,968,Audi-Car-Transparent-Image.png,1932,1150
CARRO,7,0,603,295,Audi-Car-Transparent-Images.png,614,304
CARRO,13,149,2035,1168,Chrysler-Car-PNG-High-Quality-Image.png,2048,1360
CARRO,29,55,522,261,Chrysler-Car-PNG-Image-Background.png,562,373
CARRO,83,464,2130,1002,Chrysler-Car-PNG-Transparent-Image.png,2400,1800
CARRO,20,117,1310,652,Electric-Car-Download-Transparent-PNG-Image.png,1330,850
CARRO,49,14,699,329,Electric-Car-PNG-Background-Image.png,800,372
CARRO,52,0,846,424,Electric-Car-PNG-HQ-Photo.png,898,474
CARRO,46,28,2071,660,Electric-Car-PNG-HQ-Transparent-Image.png,2199,744
CARRO,0,0,793,451,Electric-Car-PNG-Image-Transparent-Background.png,802,462
CARRO,25,0,1599,702,Electric-Car-Transparent-HQ-Background-PNG.png,1636,764
CARRO,86,100,1308,500,Maybach-Car-PNG-High-Quality-Image.png,1440,600
CARRO,16,92,602,237,Maybach-Car-PNG-Image-Background.png,640,390
CARRO,79,0,2421,1245,Maybach-Car-PNG-Picture.png,2500,1403
CARRO,12,19,788,423,Maybach-Car-Transparent.png,800,450
CARRO,1,0,926,464,Need-For-Speed-Car-PNG-Image.png,927,494
CARRO,0,0,1475,743,Need-For-Speed-Car-Transparent-Images.png,1475,743
CARRO,1,7,687,422,Niva-Car-PNG-Background-Image.png,688,430
CARRO,36,89,967,609,Niva-Car-PNG-High-Quality-Image.png,1024,768
CARRO,129,116,894,574,Niva-Car-PNG-Image-Background.png,1024,768
CARRO,52,140,972,543,Niva-Car-PNG-Photo.png,1024,768
CARRO,0,0,552,405,Niva-Car-PNG-Picture.png,556,406
CARRO,67,12,689,403,Niva-Car-Transparent-Background-PNG.png,778,455
CARRO,22,17,978,393,Police-Car-Download-PNG-Image.png,1000,415
CARRO,0,0,431,255,Police-Car-PNG-High-Quality-Image.png,436,256
CARRO,63,90,2037,1176,Race-Car-PNG-Picture.png,2100,1343
CARRO,73,290,2241,816,Race-Car-PNG-Transparent-Image.png,2314,1132
CARRO,2,28,489,316,Safari-Car-Free-PNG-Image.png,491,352
CARRO,28,145,772,417,Safari-Car-PNG-Image.png,800,600
